NO,ID POOLING ORDER,BUSSINES SEGMENT,ORGANIZATION,BOOKING DATE,NO JOB ORDER,NO FO,CUSTOMER NAME,SAT (SERVICE AGREEMENT TYPE),CONSIGNE,SALES PRODUCT,ESTIMATE REQ DLV DATE,PRODUCT,ATTACHMENT,CONTAINER TYPE,QUANTITY,FREIGHT TYPE,TRANSPORT TYPE,PICK UP LOCATION,ADDRESS LOADING POINT,ORIGIN,DROP OF LOCATION,ADDRESS UNLOADING POINT,DESTINATION,COMMERCIAL ROUTE,SQ NUMBER,DATE CONFIRM,CONFIRMED QTY,TOTAL MISSED,REASON MISSED,STATUS POOLING,PIC NAME,UPLOAD DOCUMENT,,
11,SM-D000011,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 11:00,272228543 / F1O0000300,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,03/07/2026 20:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 11:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
12,SM-D000012,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 11:00,272228669 / F1O0000302,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,03/07/2026 20:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 11:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
13,SM-D000013,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 11:00,272228891 / F1O0000306,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,03/07/2026 20:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 11:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
14,SM-D000014,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 11:00,270971463 / F1O0000404,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,03/07/2026 20:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 11:00,1,,,CONFIRM,M. SANDI PRAWIRA,,,
15,SM-D000015,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 16:00,272228407 / F1O0000299,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,03/07/2026 20:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 11:00,2,,,CONFIRM,M. SANDI PRAWIRA,,,
16,SM-D000016,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 16:00,272289727 / F1O0000380,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,03/07/2026 20:00,CNTD40FT,,40FT,12,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 11:00,12,,,CONFIRM,M. SANDI PRAWIRA,,,
17,SM-D000017,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 20:00,2331835350 / F1O0000399,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,04/07/2026 20:00,CNTD40FT,,40FT,12,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,PELINDO/ TERMINAL 3,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 20:00,12,,,CONFIRM,M. SANDI PRAWIRA,,,
18,SM-D000018,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 20:00,2331832880 / F1O0000398,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,04/07/2026 20:00,CNTD40FT,,40FT,24,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 20:00,24,,,CONFIRM,M. SANDI PRAWIRA,,,
19,SM-D000019,ILS,Tanah Merdeka Petra - Sinarmas,05/07/2026 13:00,F1O0000370,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,05/07/2026 20:00,CNTD40FT,,40FT,4,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,MAL/T300,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,05/07/2026 13:00,4,,,CONFIRM,M. SANDI PRAWIRA,,,
20,SM-D000020,ILS,Tanah Merdeka Petra - Sinarmas,06/07/2026 16:00,2332412473 / F1O0000451,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,08/07/2026 10:00,CNTD40FT,,40FT,5,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,UTC,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,06/07/2026 16:00,5,,,CONFIRM,M. SANDI PRAWIRA,,,
21,SM-D000021,ILS,Tanah Merdeka Petra - Sinarmas,06/07/2026 16:00,2332412473 / F1O0000451,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,08/07/2026 10:00,CNTD40FT,,40FT,15,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,UTC,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,06/07/2026 16:00,15,,,CONFIRM,M. SANDI PRAWIRA,,,
22,SM-D000022,ILS,Tanah Merdeka Petra - Sinarmas,07/07/2026 16:20,SI DO DN F1O0000514 - 272698227,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,07/07/2026 20:00,CNTD40FT,,40FT,10,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,,,,KARAWANG - CAKUNG (FULL) ,PTR.SQ.1001288,07/07/2026 16:20:,10,,,CONFIRM,M. SANDI PRAWIRA,,,
23,SM-D000023,ILS,Tanah Merdeka Petra - Sinarmas,07/07/2026 16:20,SI DO DN F1O0000514 - 272698227,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,07/07/2026 20:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - CAKUNG (FULL) ,PTR.SQ.1001288,07/07/2026 16:20:,1,,,CONFIRM,M. SANDI PRAWIRA,TESTING,,
24,SM-D000024,ILS,Tanah Merdeka Petra - Sinarmas,08/07/2026 9:20,SI DO DN F1O0000514 - 272698227,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,08/07/2026 9:20,CNTD40FT,,40FT,4,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,,,,KARAWANG - CAKUNG (FULL) ,PTR.SQ.1001288,08/07/2026 9:20,4,,,CONFIRM,M. SANDI PRAWIRA,,,
25,SM-D000025,ILS,Tanah Merdeka Petra - Sinarmas,08/07/2026 14:30,SI DO : F1O0000416 - 272392838,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,08/07/2026 21:30,CNTD40FT,,40FT,3,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,NPCT 1,,,KARAWANG - CAKUNG (FULL) ,PTR.SQ.1001288,08/07/2026 14:30,3,,,CONFIRM,M. SANDI PRAWIRA,,,
26,SM-D000026,ILS,Tanah Merdeka Petra - Sinarmas,08/07/2026 15:43,SI DO : F1O0000424 - 2332332763,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,08/07/2026 21:30,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,koja,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,08/07/2026 15:43,2,,,,M. SANDI PRAWIRA,,,
27,SM-D000027,ILS,Tanah Merdeka Petra - Sinarmas,08/07/2026 15:43,SI DO : F1O0000267 - 2332569520,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,08/07/2026 21:30,CNTD40FT,,40FT,4,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,koja,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,08/07/2026 15:43,4,,,,M. SANDI PRAWIRA,,,
28,SM-D000029,ILS,Tanah Merdeka Petra - Sinarmas,09/07/2026 11:43,SI DO : F1O0000390 - 272849708,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,09/07/2026 11:43,CNTD40FT,,40FT,11,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,NPCT 1,,,KARAWANG - CAKUNG (FULL) ,PTR.SQ.1001288,09/07/2026 11:43,11,,,,M. SANDI PRAWIRA,,,
29,SM-D000030,ILS,Tanah Merdeka Petra - Sinarmas,09/07/2026 14:20,SI DO : F1O0000415 - 272455595,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,11/07/2026 11:00,CNTD40FT,,40FT,9,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,KARAWANG,NPCT 1,,,KARAWANG - CAKUNG (FULL) ,PTR.SQ.1001288,09/07/2026 14:20,9,,,CONFIRM,M. SANDI PRAWIRA,,,
30,SM-D000031,ILS,Tanah Merdeka Petra - Sinarmas,09/07/2026 14:20,SI DO : F1O0000415 - 272455595,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,11/07/2026 11:00,CNTD40FT,,40FT,2,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,KARAWANG,NPCT 1,,,KARAWANG - CAKUNG (FULL) ,PTR.SQ.1001288,09/07/2026 14:20,2,,,CONFIRM,M. SANDI PRAWIRA,,,
31,SM-D000032,ILS,Tanah Merdeka Petra - Sinarmas,10/07/2026 14:34,SI DO : F1O0000508 - 862IJP0031194,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,11/07/2026 11:00,CNTD40FT,,40FT,8,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,KARAWANG,koja,,,KARAWANG - CAKUNG (FULL) ,PTR.SQ.1001288,10/07/2026 14:34,8,,,CONFIRM,M. SANDI PRAWIRA,,,
32,SM-D000033,ILS,Tanah Merdeka Petra - Sinarmas,10/07/2026 14:34,SI DO : F1O0000283 - EBKG17320391,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,12/07/2026 10:00,CNTD40FT,,40FT,4,REPO EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,CAKUNG,koja,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,10/07/2026 14:34,4,,,CONFIRM,M. SANDI PRAWIRA,,,
33,SM-D000034,ILS,Tanah Merdeka Petra - Sinarmas,10/07/2026 14:34,SI DO : F1O0000288 - EBKG17320139,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,12/07/2026 10:00,CNTD40FT,,40FT,3,REPO EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,CAKUNG,koja,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,10/07/2026 14:34,3,,,CONFIRM,M. SANDI PRAWIRA,,,
34,SM-D000035,ILS,Tanah Merdeka Petra - Sinarmas,10/07/2026 14:34,SI DO : F1O0000426 - 2332332764,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,13/07/2026 5:00,CNTD40FT,,40FT,4,REPO EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,CAKUNG,koja,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,10/07/2026 14:34,4,,,CONFIRM,M. SANDI PRAWIRA,,,
35,SM-D000036,ILS,Tanah Merdeka Petra - Sinarmas,10/07/2026 14:34,SI DO : F1O0000491 - 2332772100,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,13/07/2026 5:00,CNTD40FT,,40FT,9,REPO EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,CAKUNG,koja,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,10/07/2026 14:34,9,,,CONFIRM,M. SANDI PRAWIRA,,,
36,SM-D000037,ILS,Tanah Merdeka Petra - Sinarmas,10/07/2026 14:34,SI DO: F1O0000492 - 2332772200,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,13/07/2026 5:00,CNTD40FT,,40FT,3,REPO EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,CAKUNG,koja,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,10/07/2026 14:34,3,,,CONFIRM,M. SANDI PRAWIRA,,,
37,SM-D000038,ILS,Tanah Merdeka Petra - Sinarmas,12/07/2026 11:34,SI DO : F1O0000425  - 2332332761,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,13/07/2026 5:00,CNTD40FT,,40FT,4,REPO EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,CAKUNG,koja,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,12/07/2026 11:34,4,,,CONFIRM,M. SANDI PRAWIRA,,,
38,SM-D000039,ILS,Tanah Merdeka Petra - Sinarmas,10/07/2026 16:32,SI DO : F1O0000434 - 2331652232,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,13/07/2026 10:00,CNTD40FT,,40FT,19,EXPORT,FULL TRUCKING LOAD (EXP - IMP),GFC,,CAKUNG,UTC,,,KARAWANG - CAKUNG (FULL) ,PTR.SQ.1001288,10/07/2026 16:32,19,,,CONFIRM,M. SANDI PRAWIRA,,,
39,SM-D000046,ILS,Tanah Merdeka Petra - Sinarmas,13/07/2026 14:35,SI DO DN F1O0000469 - 272575414,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,13/07/2026 16:00,CNTD40FT,,40FT,3,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,KARAWANG,NPCT 1,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,13/07/2026 14:35,3,,,CONFIRM,M. SANDI PRAWIRA,,,
40,SM-D000047,ILS,Tanah Merdeka Petra - Sinarmas,13/07/2026 17:12,SI DO DN F1O0000468 - 272386832,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,13/07/2026 16:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,KARAWANG,NPCT 1,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,13/07/2026 17:12,1,,,CONFIRM,M. SANDI PRAWIRA,,,
41,SM-D000048,ILS,Tanah Merdeka Petra - Sinarmas,13/07/2026 14:35,SI DO : F1O0000452 - 2332476280,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,14/07/2026 8:00,CNTD40FT,,40FT,19,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,KARAWANG,NPCT 1,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,13/07/2026 14:35,19,,,CONFIRM,M. SANDI PRAWIRA,,,
42,SM-D000049,ILS,Tanah Merdeka Petra - Sinarmas,14/07/2026 16:27,SI DO DN F1O0000539 - EBKG17648400,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,15/07/2026 8:00,CNTD40FT,,40FT,10,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,KARAWANG,koja,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,14/07/2026 16:27,10,,,CONFIRM,M. SANDI PRAWIRA,,,
43,SM-D000050,ILS,Tanah Merdeka Petra - Sinarmas,15/07/2026 9:30,SI DO : F1O0000224 - 862IJP0028288,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,15/07/2026 8:00,CNTD40FT,,40FT,3,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,CAKUNG,KOJA,,,Depo BSA & Priok - Pelabuhan Tj Priok - 0 - 0,PTR.SQ.1001288,15/07/2026 9:30,3,,,CONFIRM,M. SANDI PRAWIRA,,,
44,SM-D000051,ILS,Tanah Merdeka Petra - Sinarmas,15/07/2026 15:33,SI DO : F1O0000445 - 272656493,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,15/07/2026 20:00,CNTD40FT,,40FT,6,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,15/07/2026 15:33,6,,,CONFIRM,M. SANDI PRAWIRA,,,
45,SM-D000052,ILS,Tanah Merdeka Petra - Sinarmas,15/07/2026 15:33,SI DO : F1O0000431 - COAU6460998580,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,15/07/2026 20:00,CNTD40FT,,40FT,4,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,PELINDO/ TERMINAL 3,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,15/07/2026 15:33,4,,,CONFIRM,M. SANDI PRAWIRA,,,
